State abbreviation,Grade,Subject,Parent Standard ID,Standard ID,Level,Standard Order,Standard Number,Standard Category,Standard Text,Adopted Year,Corresponding CA CCSS for ELA/Literacy
CA,K,English Language Learners,5132001e-4b9a-4325-b1b9-9f098687a53a,5df86c43-d5a5-488e-8eab-cbf01272caea,5,'13303494001004003001,,Mode of Communication,No standard for kindergarten.,2012,Not applicable at kindergarten
CA,K,English Language Learners,89e213bc-f9ec-4cb2-8321-939343450bfe,b3461d5b-7c8e-40dd-b6c2-8a4b81be7ad1,2,'13303494002000000000,I.B.,Mode of Communication,Interpretive,2012,
CA,K,English Language Learners,b3461d5b-7c8e-40dd-b6c2-8a4b81be7ad1,5cd18982-6d62-4409-8678-ec989968c1fc,3,'13303494002001000000,I.B.5.,Mode of Communication,Listening actively to spoken English in a range of social and academic contexts,2012,"SL.K.1, SL.K.2, SL.K.3"
CA,K,English Language Learners,5cd18982-6d62-4409-8678-ec989968c1fc,959c3902-705e-4f6c-9c2a-d7bd17226137,4,'13303494002001001000,I.B.5.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,959c3902-705e-4f6c-9c2a-d7bd17226137,a38a6837-c7c5-4118-9b5b-dced11094d6f,5,'13303494002001001001,I.B.5.EM.a.,Mode of Communication,Demonstrate active listening to read_alouds and oral presentations by asking and answering yes_no and wh_ questions with oral sentence frames and substantial prompting and support.,2012,"SL.K.1, SL.K.2, SL.K.3"
CA,K,English Language Learners,5cd18982-6d62-4409-8678-ec989968c1fc,374adec2-39f9-46cd-8b07-52a90e4cc3a5,4,'13303494002001002000,I.B.5.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,374adec2-39f9-46cd-8b07-52a90e4cc3a5,ec937e9d-079d-479a-a10f-17017a88eb49,5,'13303494002001002001,I.B.5.EX.a.,Mode of Communication,Demonstrate active listening to read_alouds and oral presentations by asking and answering questions with oral sentence frames and occasional prompting and support.,2012,"SL.K.1, SL.K.2, SL.K.3"
CA,K,English Language Learners,5cd18982-6d62-4409-8678-ec989968c1fc,72a0d7ac-02ea-4c0b-87a5-0301432b289c,4,'13303494002001003000,I.B.5.B.,Mode of Communication,Bridging,2012,
CA,K,English Language Learners,72a0d7ac-02ea-4c0b-87a5-0301432b289c,93309ace-743c-44b9-b634-75a8e4c32e08,5,'13303494002001003001,I.B.5.B.a.,Mode of Communication,Demonstrate active listening to read_alouds and oral presentations by asking and answering detailed questions with minimal prompting and light support.,2012,"SL.K.1, SL.K.2, SL.K.3"
CA,K,English Language Learners,b3461d5b-7c8e-40dd-b6c2-8a4b81be7ad1,f99083f3-cf58-48dc-b704-c6a80e1f09d4,3,'13303494002002000000,I.B.6.,Mode of Communication,Reading closely literary and informational texts and viewing multimedia to determine how meaning is conveyed explicitly and implicitly through language,2012,"RL.K.1, RL.K.2, RL.K.3, RL.K.4, RL.K.5, RL.K.6, RL.K.7, RL.K.9, RL.K.10, RI.K.1, RI.K.2, RI.K.3, RI.K.4, RI.K.5, RI.K.6, RI.K.7, RI.K.9, RI.K.10, SL.K.2, SL.K.3, L.K.4, L.K.6"
CA,K,English Language Learners,f99083f3-cf58-48dc-b704-c6a80e1f09d4,fbda731e-5060-409e-b4fb-e124cc88c297,4,'13303494002002001000,I.B.6.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,fbda731e-5060-409e-b4fb-e124cc88c297,53b9be69-d318-4e19-91ae-3b9566c5ba03,5,'13303494002002001001,I.B.6.EM.a.,Mode of Communication,"Describe ideas, phenomena (e.g., parts of a plant), and text elements (e.g., characters) based on understanding of a select set of grade_level texts and viewing of multimedia with substantial support.",2012,"RL.K.1, RL.K.2, RL.K.3, RL.K.4, RL.K.5, RL.K.6, RL.K.7, RL.K.9, RL.K.10, RI.K.1, RI.K.2, RI.K.3, RI.K.4, RI.K.5, RI.K.6, RI.K.7, RI.K.9, RI.K.10, SL.K.2, SL.K.3, L.K.4, L.K.6"
CA,K,English Language Learners,f99083f3-cf58-48dc-b704-c6a80e1f09d4,2a400ace-27f5-4dd1-b2cc-18d612a359a8,4,'13303494002002002000,I.B.6.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,2a400ace-27f5-4dd1-b2cc-18d612a359a8,0e86f217-95e0-49c2-9541-e696b7d847e1,5,'13303494002002002001,I.B.6.EX.a.,Mode of Communication,"Describe ideas, phenomena (e.g., how butterflies eat), and text elements (e.g., setting, characters) in greater detail based on understanding of a variety of grade_level texts and viewing of multimedia with moderate support.",2012,"RL.K.1, RL.K.2, RL.K.3, RL.K.4, RL.K.5, RL.K.6, RL.K.7, RL.K.9, RL.K.10, RI.K.1, RI.K.2, RI.K.3, RI.K.4, RI.K.5, RI.K.6, RI.K.7, RI.K.9, RI.K.10, SL.K.2, SL.K.3, L.K.4, L.K.6"
CA,K,English Language Learners,f99083f3-cf58-48dc-b704-c6a80e1f09d4,42ec2242-3d3c-41e8-9da2-cf46d6c7b73c,4,'13303494002002003000,I.B.6.B.,Mode of Communication,Bridging,2012,
CA,K,English Language Learners,42ec2242-3d3c-41e8-9da2-cf46d6c7b73c,c9a4b2f2-3816-4205-b799-a7ab00f8a317,5,'13303494002002003001,I.B.6.B.a.,Mode of Communication,"Describe ideas, phenomena (e.g., insect metamorphosis), and text elements (e.g., major events, characters, setting) using key details based on understanding of a variety of grade_level texts and viewing of multimedia with light support.",2012,"RL.K.1, RL.K.2, RL.K.3, RL.K.4, RL.K.5, RL.K.6, RL.K.7, RL.K.9, RL.K.10, RI.K.1, RI.K.2, RI.K.3, RI.K.4, RI.K.5, RI.K.6, RI.K.7, RI.K.9, RI.K.10, SL.K.2, SL.K.3, L.K.4, L.K.6"
CA,K,English Language Learners,b3461d5b-7c8e-40dd-b6c2-8a4b81be7ad1,10466628-b2d8-420f-9c5e-0ab2bd2d36d8,3,'13303494002003000000,I.B.7.,Mode of Communication,"Evaluating how well writers and speakers use language to support ideas and opinions with details or reasons depending on modality, text type, purpose, audience, topic, and content area",2012,"RL.K.3, RL.K.4, RL.K.6, RI.K.2, RI.K.6, RI.K.8, L.K.4, L.K.5, L.K.6"
CA,K,English Language Learners,10466628-b2d8-420f-9c5e-0ab2bd2d36d8,acff76c0-2efa-438f-b8fe-c42da6ba5f41,4,'13303494002003001000,I.B.7.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,acff76c0-2efa-438f-b8fe-c42da6ba5f41,f49f10f7-33d3-4f06-a3c6-9dd91faa9b03,5,'13303494002003001001,I.B.7.EM.a.,Mode of Communication,"Describe the language an author uses to present an idea (e.g., the words and phrases used when a character is introduced) with prompting and substantial support.",2012,"RL.K.3, RL.K.4, RL.K.6, RI.K.2, RI.K.6, RI.K.8, L.K.4, L.K.5, L.K.6"
CA,K,English Language Learners,10466628-b2d8-420f-9c5e-0ab2bd2d36d8,98e1556b-f251-498c-a97e-85e6bfbc2529,4,'13303494002003002000,I.B.7.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,98e1556b-f251-498c-a97e-85e6bfbc2529,c243dde4-86d0-46e4-9bed-a1f0b9321e93,5,'13303494002003002001,I.B.7.EX.a.,Mode of Communication,"Describe the language an author uses to present an idea (e.g., the adjectives used to describe a character) with prompting and moderate support.",2012,"RL.K.3, RL.K.4, RL.K.6, RI.K.2, RI.K.6, RI.K.8, L.K.4, L.K.5, L.K.6"
CA,K,English Language Learners,10466628-b2d8-420f-9c5e-0ab2bd2d36d8,b730172a-695d-4ed9-8734-f4020526eaa2,4,'13303494002003003000,I.B.7.B.,Mode of Communication,Bridging,2012,
CA,K,English Language Learners,b730172a-695d-4ed9-8734-f4020526eaa2,941a66cd-29ae-4277-b4f0-1764b7bf2baa,5,'13303494002003003001,I.B.7.B.a.,Mode of Communication,"Describe the language an author uses to present or support an idea (e.g., the vocabulary used to describe people and places) with prompting and light support.",2012,"RL.K.3, RL.K.4, RL.K.6, RI.K.2, RI.K.6, RI.K.8, L.K.4, L.K.5, L.K.6"
CA,K,English Language Learners,b3461d5b-7c8e-40dd-b6c2-8a4b81be7ad1,16bae4a0-2f68-47c5-8948-cba37ea71c2d,3,'13303494002004000000,I.B.8.,Mode of Communication,"Analyzing how writers and speakers use vocabulary and other language resources for specific purposes (to explain, persuade, entertain, etc.) depending on modality, text type, purpose, audience, topic, and content area",2012,"RL.K.4, RL.K.5, RI.K.4, L.K.4, L.K.5, L.K.6"
CA,K,English Language Learners,16bae4a0-2f68-47c5-8948-cba37ea71c2d,7f6b7aca-a671-4f02-b182-dace0f0c7eab,4,'13303494002004001000,I.B.8.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,7f6b7aca-a671-4f02-b182-dace0f0c7eab,1e5ea2d0-a388-4b5c-9a25-593b82b9f107,5,'13303494002004001001,I.B.8.EM.a.,Mode of Communication,"Distinguish how two different frequently used words (e.g., describing an action with the verb walk versus run) produce a different effect.",2012,"RL.K.4, RL.K.5, RI.K.4, L.K.4, L.K.5, L.K.6"
CA,K,English Language Learners,16bae4a0-2f68-47c5-8948-cba37ea71c2d,806d5a6d-2b18-4153-859c-390bfbfb50a6,4,'13303494002004002000,I.B.8.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,806d5a6d-2b18-4153-859c-390bfbfb50a6,8941558f-77ec-4005-ae4f-1d327d0d05f3,5,'13303494002004002001,I.B.8.EX.a.,Mode of Communication,"Distinguish how two different words with similar meaning (e.g., describing an action as walk versus march) produce shades of meaning and a different effect.",2012,"RL.K.4, RL.K.5, RI.K.4, L.K.4, L.K.5, L.K.6"
CA,K,English Language Learners,16bae4a0-2f68-47c5-8948-cba37ea71c2d,cab12257-e854-495e-b7c7-6ae37140b2be,4,'13303494002004003000,I.B.8.B.,Mode of Communication,Bridging,2012,
CA,K,English Language Learners,cab12257-e854-495e-b7c7-6ae37140b2be,2e9f4788-ecc8-43cf-bf78-db6396cf5b58,5,'13303494002004003001,I.B.8.B.a.,Mode of Communication,"Distinguish how multiple different words with similar meaning (e.g., walk, march, strut, prance) produce shades of meaning and a different effect.",2012,"RL.K.4, RL.K.5, RI.K.4, L.K.4, L.K.5, L.K.6"
CA,K,English Language Learners,89e213bc-f9ec-4cb2-8321-939343450bfe,ed579ea6-dbdc-40ed-9331-664af191368a,2,'13303494003000000000,I.C.,Mode of Communication,Productive,2012,
CA,K,English Language Learners,ed579ea6-dbdc-40ed-9331-664af191368a,1c6656a5-aba6-4ff1-8067-8fd3aa68cda3,3,'13303494003001000000,I.C.9.,Mode of Communication,Expressing information and ideas in formal oral presentations on academic topics,2012,"SL.K.4, SL.K.5, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,1c6656a5-aba6-4ff1-8067-8fd3aa68cda3,e4c4587d-3a12-4608-8b72-2d2bd127e6a8,4,'13303494003001001000,I.C.9.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,e4c4587d-3a12-4608-8b72-2d2bd127e6a8,7306713a-c6e3-439b-8f84-66a29c4c0269,5,'13303494003001001001,I.C.9.EM.a.,Mode of Communication,"Plan and deliver very brief oral presentations (e.g., show and tell, describing a picture).",2012,"SL.K.4, SL.K.5, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,1c6656a5-aba6-4ff1-8067-8fd3aa68cda3,6852083c-ec89-498e-93d1-f8f5402fe374,4,'13303494003001002000,I.C.9.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,6852083c-ec89-498e-93d1-f8f5402fe374,eb1c8b70-35c3-4d03-bc6d-216f34bef655,5,'13303494003001002001,I.C.9.EX.a.,Mode of Communication,"Plan and deliver brief oral presentations on a variety of topics (e.g., show and tell, author’s chair, recounting an experience, describing an animal).",2012,"SL.K.4, SL.K.5, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,1c6656a5-aba6-4ff1-8067-8fd3aa68cda3,e994f636-f077-46ba-86b2-3b60e40be68b,4,'13303494003001003000,I.C.9.B.,Mode of Communication,Bridging,2012,
CA,K,English Language Learners,e994f636-f077-46ba-86b2-3b60e40be68b,78c7e109-3549-4738-a72b-5e8836e33ff0,5,'13303494003001003001,I.C.9.B.a.,Mode of Communication,"Plan and deliver longer oral presentations on a variety of topics in a variety of content areas (e.g., retelling a story, describing a science experiment).",2012,"SL.K.4, SL.K.5, SL.K.6, L.K.1, L.K.6"
CA,K,English Language Learners,ed579ea6-dbdc-40ed-9331-664af191368a,e08020f5-1fd7-433d-b89b-5911c0751ff1,3,'13303494003002000000,I.C.10.,Mode of Communication,"Composing/Writing literary and informational texts to present, describe, and explain ideas and information, using appropriate technology",2012,"W.K.1, W.K.2, W.K.3, W.K.5, W.K.6, W.K.7, W.K.8, L.K.1, L.K.2, L.K.6"
CA,K,English Language Learners,e08020f5-1fd7-433d-b89b-5911c0751ff1,4516e818-a2bb-470d-84cd-c62873417c90,4,'13303494003002001000,I.C.10.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,4516e818-a2bb-470d-84cd-c62873417c90,09b7ed8e-b740-4346-99c8-97055eee27b7,5,'13303494003002001001,I.C.10.EM.a.,Mode of Communication,"Draw, dictate, and write to compose very short literary texts (e.g., story) and informational texts (e.g., a description of a dog), using familiar vocabulary collaboratively in shared language activities with an adult (e.g., joint construction of texts), with peers, and sometimes independently.",2012,"W.K.1, W.K.2, W.K.3, W.K.5, W.K.6, W.K.7, W.K.8, L.K.1, L.K.2, L.K.6"
CA,K,English Language Learners,e08020f5-1fd7-433d-b89b-5911c0751ff1,d3cef5fa-5ea1-4947-8150-bb68e0b6f8e1,4,'13303494003002002000,I.C.10.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,d3cef5fa-5ea1-4947-8150-bb68e0b6f8e1,202bc791-84ec-4585-96c8-02b8beb712fd,5,'13303494003002002001,I.C.10.EX.a.,Mode of Communication,"Draw, dictate, and write to compose short literary texts (e.g., story) and informational texts (e.g., a description of dogs), collaboratively with an adult (e.g., joint construction of texts), with peers, and with increasing independence.",2012,"W.K.1, W.K.2, W.K.3, W.K.5, W.K.6, W.K.7, W.K.8, L.K.1, L.K.2, L.K.6"
CA,K,English Language Learners,e08020f5-1fd7-433d-b89b-5911c0751ff1,0ff88962-cedc-4e74-be96-f6270d32e534,4,'13303494003002003000,I.C.10.B.,Mode of Communication,Bridging,2012,
CA,K,English Language Learners,0ff88962-cedc-4e74-be96-f6270d32e534,3151d09d-0ca9-4d73-9323-14448daa79a4,5,'13303494003002003001,I.C.10.B.a.,Mode of Communication,"Draw, dictate, and write to compose longer literary texts (e.g., story) and informational texts (e.g., an information report on dogs), collaboratively with an adult (e.g., joint construction of texts), with peers, and independently using appropriate text organization.",2012,"W.K.1, W.K.2, W.K.3, W.K.5, W.K.6, W.K.7, W.K.8, L.K.1, L.K.2, L.K.6"
CA,K,English Language Learners,ed579ea6-dbdc-40ed-9331-664af191368a,7b539df0-9380-416b-a715-cdf160ee04f8,3,'13303494003003000000,I.C.11.,Mode of Communication,Supporting own opinions and evaluating others’ opinions in speaking and writing,2012,"W.K.1, SL.K.4, SL.K.6, L.K.1, L.K.2, L.K.6"
CA,K,English Language Learners,7b539df0-9380-416b-a715-cdf160ee04f8,ae6cc4e3-bbfc-4201-96fe-7ca955fbfc14,4,'13303494003003001000,I.C.11.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,ae6cc4e3-bbfc-4201-96fe-7ca955fbfc14,620c1f95-37a4-4db9-a1b7-c2c20876c174,5,'13303494003003001001,I.C.11.EM.a.,Mode of Communication,"Offer opinions and provide good reasons (e.g., My favorite book is X because X.) referring to the text or to relevant background knowledge.",2012,"W.K.1, SL.K.4, SL.K.6, L.K.1, L.K.2, L.K.6"
CA,K,English Language Learners,7b539df0-9380-416b-a715-cdf160ee04f8,db57df79-ad05-4a29-9d94-b89d0ecd2e3e,4,'13303494003003002000,I.C.11.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,db57df79-ad05-4a29-9d94-b89d0ecd2e3e,f1d44e23-25bf-434e-83fd-9a61554da43c,5,'13303494003003002001,I.C.11.EX.a.,Mode of Communication,"Offer opinions and provide good reasons and some textual evidence or relevant background knowledge (e.g., paraphrased examples from text or knowledge of content).",2012,"W.K.1, SL.K.4, SL.K.6, L.K.1, L.K.2, L.K.6"
CA,K,English Language Learners,7b539df0-9380-416b-a715-cdf160ee04f8,73988b62-afad-4c77-8bcb-29f3095e7227,4,'13303494003003003000,I.C.11.B.,Mode of Communication,Bridging,2012,
CA,K,English Language Learners,73988b62-afad-4c77-8bcb-29f3095e7227,c976e1b3-9248-4633-a1ae-7fc7e1130e9e,5,'13303494003003003001,I.C.11.B.a.,Mode of Communication,"Offer opinions and provide good reasons with detailed textual evidence or relevant background knowledge (e.g., specific examples from text or knowledge of content).",2012,"W.K.1, SL.K.4, SL.K.6, L.K.1, L.K.2, L.K.6"
CA,K,English Language Learners,ed579ea6-dbdc-40ed-9331-664af191368a,35a654ec-574b-4083-936b-1364df935886,3,'13303494003004000000,I.C.12.,Mode of Communication,Selecting and applying varied and precise vocabulary and language structures to effectively convey ideas,2012,"W.K.5, SL.K.4, SL.K.6, L.K.1, L.K.5, L.K.6"
CA,K,English Language Learners,35a654ec-574b-4083-936b-1364df935886,55418a17-f038-47d2-bc7d-f398b265612e,4,'13303494003004001000,I.C.12.EM.,Mode of Communication,Emerging,2012,
CA,K,English Language Learners,55418a17-f038-47d2-bc7d-f398b265612e,02fe9eab-9322-473a-a387-b52b3e72cd37,5,'13303494003004001001,I.C.12.EM.a.,Mode of Communication,Retell texts and recount experiences using a select set of key words.,2012,"W.K.5, SL.K.4, SL.K.6, L.K.1, L.K.5, L.K.6"
CA,K,English Language Learners,55418a17-f038-47d2-bc7d-f398b265612e,6acdf0a1-59e6-422e-b5a2-5e8e9b6e49f2,5,'13303494003004001002,I.C.12.EM.b.,Mode of Communication,"Use a select number of general academic and domain_specific words to add detail (e.g., adding the word spicy to describe a favorite food, using the word larva when explaining insect metamorphosis) while speaking and composing.",2012,"W.K.5, SL.K.4, SL.K.6, L.K.1, L.K.5, L.K.6"
CA,K,English Language Learners,35a654ec-574b-4083-936b-1364df935886,90a42708-83d4-4ffe-b6ba-dfde67ee7498,4,'13303494003004002000,I.C.12.EX.,Mode of Communication,Expanding,2012,
CA,K,English Language Learners,90a42708-83d4-4ffe-b6ba-dfde67ee7498,6189b9d8-6710-49ad-9734-cc005add0fa2,5,'13303494003004002001,I.C.12.EX.a.,Mode of Communication,Retell texts and recount experiences using complete sentences and key words.,2012,"W.K.5, SL.K.4, SL.K.6, L.K.1, L.K.5, L.K.6"
CA,K,English Language Learners,90a42708-83d4-4ffe-b6ba-dfde67ee7498,642ff006-6659-4deb-8d31-8c3e6ceb6bc8,5,'13303494003004002002,I.C.12.EX.b.,Mode of Communication,"Use a growing number of general academic and domain_specific words in order to add detail or to create shades of meaning (e.g., using the word scurry versus run) while speaking and composing.",2012,"W.K.5, SL.K.4, SL.K.6, L.K.1, L.K.5, L.K.6"
CA,K,English Language Learners,35a654ec-574b-4083-936b-1364df935886,2d794197-1c85-444a-a0fc-d1ef885c7485,4,'13303494003004003000,I.C.12.B.,Mode of Communication,Bridging,2012,
CA,K,English Language Learners,2d794197-1c85-444a-a0fc-d1ef885c7485,1f7b5c04-dc8f-42fc-9257-f19afba97e74,5,'13303494003004003001,I.C.12.B.a.,Mode of Communication,Retell texts and recount experiences using increasingly detailed complete sentences and key words.,2012,"W.K.5, SL.K.4, SL.K.6, L.K.1, L.K.5, L.K.6"
